NßREGISTRO;PROGRAMA;CODIGODEPROYECTO;DESCRIPTORES;AUTORES;CLASIFICACION;FUENTES;TITULO;TIPODEDOCUMENTOS;A•O;RESUMEN;DOCUMENTO;CONTROLDEACCESO
PTG07493;PLASTILAGO;PTG-I-01;PEAD, REMOLIDO, ENVASES, ACEITE DE MOTORO,;"BERMUDEZ, ANTONIO; SOTO, GUSTAVO";;;PEAD REMOLIDO EN ENVASES PARA ACEITE DE MOTOR;INFORME TECNICO;1993;EVALUAR PROPIEDADES MECANICAS Y QUIMICAS A LOS PEAD 5200B UTILIZADOS EN LA FABRICACION DE ENVASES PARA ACEITE DE MOTOR CON UN 50% Y 100% DE MATERIAL REMOLIDO Y COMPARARLO CON EL PEAD VIRGEN.;INFORMES/PLASTILAGO/1993/IN07493.PDF;
PTG07593;PLASTILAGO;PTG-I-01;PAILAS, PEAD,;SOTO, GUSTAVO;;;EVALUACION DE PAILAS DE PEAD DE 1 GALON DE CAPACIDAD;INFORME TECNICO;1993;DETERMINAR LAS PROPIEDADES EN COMPRESion, LA DISTRIBUCION DE ESPESOR Y EL PESO DE PAILAS FABRICADAS CON PEAD.;INFORMES/PLASTILAGO/1993/IN07593.PDF;
PTG07693;PLASTILAGO;PTG-I-02-02-01;PAILASM PEAD, PP,;CAPRIULO, FRANCESCO;;;EVALUACION DE PAILAS ELABORADAS CON PEAD Y PP. INFORME DE AVANCE;INFORME TECNICO;1993;DESARROLLAR LOS METODOS PARA EVALUAR LAS PROPIEDADES DE RESISTENCIA AL IMPACTO Y RESISTENCIA A LA COMPRESION EN PAILAS DE 1,3 Y 5 GALONES.;INFORMES/PLASTILAGO/1993/IN07693.PDF;
PTG07793;PLASTILAGO;PTG-I-01;PAILAS, PEAD,;CAPRIULO, FRANCESCO;;;EVALUACION DE PAILAS ELABORADAS CON PEAD. INFORME FINAL;INFORME TECNICO;1993;DESARROLLAR LOS METODOS PARA EVALUAR LAS PROPIEDADES DE RESISTENCIA AL IMPACTO Y RESISTENCIA A LA COMPRESION EN PAILAS DE 1,3 Y 5 GALONES, EVALUAR DICHAS PROPIEDADES EN PAILAS DE 1 GALON SUMINISTRADAS POR PLASTICOS METALGRAFICA.;INFORMES/PLASTILAGO/1993/IN07793.PDF;
PTG07893;PLASTILAGO;PTG-I-01-01;ESCR, MEZCLAS, PEAD, ALTAVEN, 6100M, 5200B, AGRIETAMIENTO,;GUASTAFERRO, FRANCO;;;EVALUACION DE LA RESISTENCIA AL AGRIETAMIENTO EN MEDIOS ACTIVOS (ESCR), DE MEZCLAS DE PEAD ALTAVEN 6100M Y 5200B;INFORME TECNICO;1993;PREPARAR MEZCLAS HOMOGENEIZADAS EN FUNDIDO DE PEAD ALTAVEN 5200B Y 6100M, EN PROPORCIONES DE 10, 20 Y 50% DEL SEGUNDO COMPONENTE, PARA EVALUAR EL ESCR DE LAS MISMAS.;INFORMES/PLASTILAGO/1993/IN07893.PDF;
PTG07993;PLASTILAGO;PTG-I-01;PROPIEDADES FISICAS, GRADOS, SOPLADO, PE,;"CAPRIULO, FRANCESCO; SOTO, GUSTAVO";;;PROPIEDADES FISICAS DE DIFERENTES GRADOS SOPLADO DE PE;INFORME TECNICO;1993;ESTABLECER LAS DIFERENCIAS Y SEMEJANZAS QUE EXISTEN ENTER VARIOS GRADOS DE PE IMPORTADOS EMPLEADOS EN EL SOPLADO DE ENVASES DE GRAN CAPACIDAD Y LOS PEAD ALTAVEN 6200B Y 6100M.;INFORMES/PLASTILAGO/1993/IN07993.PDF;
PTG08093;PLASTILAGO;PTG-I-03;COLORACION, GRIS, NEGRA, CERAS,;"VELASQUEZ, WILLIAN; ARGOTE, PEDRO";;;DETERMINACION DE LA NATURALEZA DE LA COLORACION GRIS/NEGRA DE LAS CERAS DE PLASTILAGO;;1993;ELUCIDAR LA PROCEDENCIA DE LA COLORACION GRISACEA EN LAS CERAS.;INFORMES/PLASTILAGO/1993/IN08093.PDF;
PTG08193;PLASTILAGO;PTG-I-05-01-03;PAILAS, SIMULACION, COMPRESION, APILAMIENTO, FALLA, ENVASES,;TORRES, ARMANDO;;;SIMULACION DE LA COMPRESION DE PAILAS DE 1 GAL;INFORME TECNICO;1993;SE PRESENTA UN INFORME DE AVANCE DE LA SIMULACION DEL COMPORTAMIENTO MECANICO DE ENVASES SOMETIDOS A COMPRESION. LOS RESULTADOS DE LAS SIMULACIONES DE COMPRESION DE ENVASES DE 1 GAL‡N DE CAPACIDAD.;INFORMES/PLASTILAGO/1993/IN08193.PDF;
PTG08293;PLASTILAGO;PTG-S-02;CARACTERIZACION, CONCENTRADO, PEAD, 6200B, PLASCTICOS M&M;REYES, ALCIFREDO;;;CARACTERIZACION DE CONCENTRADO DE PEAD 6200B PROVENIENTE DE PLASTICOS M&M (COLOMBIA);INFORME TECNICO;1993;EVALUAR MEDIANTE LA TECNICA DE CALORIMETRIA DIFERENCIAL DE BARRIDO (DSC) Y ANALISIS TERMOGAVIMETRICO (TGA) UN CONCENTRADO DE 6200B.;INFORMES/PLASTILAGO/1993/IN08293.PDF;
PTG08393;PLASTILAGO;PTG-I-05;PROGRAMA, ANISOP,;TORRES, ARMANDO;;;VALIDACION EXPERIMENTAL DEL PROGRAMA ANSISOP PARA PLASTILAGO;INFORME TECNICO;1993;;INFORMES/PLASTILAGO/1993/IN08393.PDF;
PTG08493;PLASTILAGO;PTG-S-02;CALOR, PEAD, 2150J, 2208J,;MORALES, ILIANA;;;CALOR ESPECIFICO A MUESTRAS DE PEAD 2150J Y 2208J;INFORME TECNICO;1993;DETERMINAR EL CALOR ESPECIFICO A CUATRO MUESTRAS DE PEAD GRADOS 2208J Y 2150J.;INFORMES/PLASTILAGO/1993/IN08493.PDF;
PTG08593;PLASTILAGO;PTG-I-05;SIMULACION, ENSAYO, COMPRESION, PAILAS,;TORRES, ARMANDO;;;SIMULACION DEL ENSAYO DE COMPRESION DE PAILAS. INFORME TECNICO DETALLADO.;INFORME TECNICO;1993;;INFORMES/PLASTILAGO/1993/IN08593.PDF;
PTG08693;PLASTILAGO;PTG-I-06;EXTRUSION,;"BRAVO, VICTOR; TORRES, ARMANDO";;;CORROBORACION EXPERIMENTAL DE LOS RESULTADOS DEL PROGRAMA EXTRUSION;INFORME TECNICO;1993;;INFORMES/PLASTILAGO/1993/IN08693.PDF;
PTG08793;PLASTILAGO;PTG-I-07;OPTIMIZACION, SISTEMA,  ESTABILIZACION, PEAD,  ALTAVEN, 6200B,;"CAPRIULO, FRANCESCO; SOTO, GUSTAVO";;;OPTIMIZACION DEL SISTEMA DE ESTABILIZACION DEL PEAD ALTAVEN 6200B;INFORME TECNICO;1993;OPTIMIZAR EN COSTO Y DESEMPE•O EL SISTEMA DE ESTABILIZACION TERMICA DEL PEAD ALTAVEN 6200B.;INFORMES/PLASTILAGO/1993/IN08793.PDF;
PTG08893;PLASTILAGO;PTG-S-01;EVALUACION INDUSTRIAL,  SISTEMA, ESTABILIZACION,  PEAD, 7000F,;"UNIDAD DE REOLOGIA; ANALISIS TERMOMECANICOS";;;EVALUACION INDUSTRIAL DEL SISTEMA DE ESTABILIZACION DEL PEAD 7000F;INFORME TECNICO;1993;EVALUAR EL DESEMPE•O DEL SISTEMA DE ESABILIZACION DEL PEAD ALTAVEN 7000F EN EL NIVEL INDUSTRIAL.;INFORMES/PLASTILAGO/1993/IN08893.PDF;
PTG08993;PLASTILAGO;PTG-S-01;EVALUACION, SISTEMA DE ESTABILIZACION, PEAD, ALTAVEN, 6200B,;SECCION DE TRANSFORMACION;;;EVALUACION DEL SISTEMA DE ESTABILIZACION DEL PEAD ALTAVEN 6200B. INFORME DE AVANCE;INFORME TECNICO;1993;EVALUAR UNA NUEVA FORMULACION DEL PEAD 6200B PRODUCIDA A NIVEL INDUSTRIAL VS. UN LOTE ESTANDAR, MEDIANTE VARIACIONES DEL INDICE DE FLUIDEZ, INDICE DE AMARILLEZ E IMPACTO IZOD EN FUNCION DEL REPROCESAMIENTO Y EL ENVEJECIMIENTO TERMICO.;INFORMES/PLASTILAGO/1993/IN08993.PDF;
PTG09093;PLASTILAGO;PTG-S-01-01;ESCR, MUESTRAS, PEAD, ALTAVEN,;MORALES, ILIANA;;;DETERMINACION DE ESCR A MUESTRAS DE PEAD ALTAVEN;INFORME TECNICO;1993;EVALUAR LA RSISTENCIA AL AGRIETAMIENTO EN PRESENCIA DE AGENTES TENSOACTIVOS (ESCR) A MUESTRAS ESTANDAR DE LOS PEAD ALTAVEN GRADOS 1400J, 1350J, 2100J, 2150J Y 2208J.;INFORMES/PLASTILAGO/1993/IN09093.PDF;
PTG09193;PLASTILAGO;PTG-S-01;EVALUACION, PEAD, ALTAVEN, 2108J, 2208J,;MORALES, ILIANA;;;EVALUACION COMPARATIVA DE LOS PEAD ALTAVEN 2108J Y 2208J;INFORME TECNICO;1993;EVALUAR AL PEAD ALTAVEN 2108J (2100J ESTABILIZADO A LA LUZ CON TINUVIN 622LD) Y COMPARARLO CON EL PEAD 2208J ESTANDAR (DATOS DE HOJAS TECNICAS).;INFORMES/PLASTILAGO/1993/IN09193.PDF;
PTG09293;PLASTILAGO;PTG-S-01;PESOS MOLECULARES, ALTAVEN. CATALIZADOR,;ZABALA, MARCOS;;;DETERMINACION DE PESOS MOLECULARES A GRADOS EXPERIMENTALES ALTAVEN. INFORME DE AVANCE;INFORME TECNICO;1993;SE PRESENTAN RESULTADOS DE DETERMINACION DE PESOS MOLECULARES A GRADO ALTAVEN ELABORADOS CON ALTA RELACION MOLAR CO-CATALIZADOR/CATALIZADOR.;INFORMES/PLASTILAGO/1993/IN09293.PDF;
PTG09393;PLASTILAGO;PTG-S-01;EVALUACION, LOTES, ALTAVEN,  1-BUTENO, COMONOMERO,;"MORALES, ILIANA; ZABALA, MARCOS";;;EVALUACION DE LOTES EXPERIMENTALES DE GRADOS ALTAVEN ELABORADOS CON 1-BUTENO COMO COMONOMERO;INFORME TECNICO;1993;;INFORMES/PLASTILAGO/1993/IN09393.PDF;
PTG09493;PLASTILAGO;PTG-S-01;CARACTERIZACION, GRADOS, ALTAVEN,;"RINCON, LUIS; ZABALA, MARCOS; PORTILLO, RICARDO";;;CARACTERIZACION DE GRADOS ALTAVEN PRIMER INFORME DE AVANCE;INFORME TECNICO;1993;;INFORMES/PLASTILAGO/1993/IN09493.PDF;
PTG09593;PLASTILAGO;PTG-S-02;EVALUACION, PEAD, 2208J, ALTA FLUIDEZ, LOTE, 023065,;MORALES, ILIANA;;;EVALUACION DEL PEAD 2208J DE ALTA FLUIDEZ, LOTE 023065;INFORME TECNICO;1993;EVALUAR LA PROCESABILIDAD Y LAS PROPIEDADES FISICO-QUIMICAS DEL PEAD ALTAVEN 2208J DE ALTA FLUIDEZ, Y COMPARARLO CON EL PEAD DOW 10062N Y EL PEAD ALTAVEN 2208J ESTANDAR.;INFORMES/PLASTILAGO/1993/IN09593.PDF;
PTG09693;PLASTILAGO;PTG-S-02;ESTABILIZANTE, UV, TINUVIN, 622, FTIR, PEAD,;"LOPEZ, JOSE LUIS; ZABALA, MARCOS; SANDREA, IDENILDA";;;IDENTIFICACION DE MATERIAL DE ELABORACION DE MUESTRAS PROBLEMA - ENVASES CARACAS;INFORME TECNICO;1993;DETERMINAR CUALITATIVAMENTE LA PRESENCIA DEL ESTABILIZANTE UV TINUVIN 622 VIA FTIR EN UNA MUESTRA PROCESADA DE PEAD.;INFORMES/PLASTILAGO/1993/IN09693.PDF;
PTG09795;PLASTILAGO;PTG-I-02;EVALUACION DEL SISTEMA CATALITICO DE PLASTILAGO Y ALTERNATIVAS COMERCIALES. EVALUACION DEL DESEMPE•O COMPARATIVO DEL CATALIZADOR CT-A Y PZ A TEMPERATURAS DE REACCION DE 80ßC Y 85ßC;"RINCON, LUIS; EDGAR, GONZALEZ";;;EVALUACION DEL SISTEMA CATALITICO DE PLASTILAGO Y ALTERNATIVAS COMERCIALES. EVALUACION DEL DESEMPE•O COMPARATIVO DEL CATALIZADOR CT-A Y PZ A TEMPERATURAS DE REACCION DE 80ßC Y 85ßC;INFORME TECNICO;1995;SE PRESENTA EN ESTE INFORME EL DESEMPE•O COMPARATIVO DE LOS LOTES 022 DE CATALIZADOR CT-A A UNA TEMPERATURA DE 80¯C, CON EL FIN DE ESTIMAR LA REPRODUCIBILIDAD LOTE A LOTE PARA ESTE CATALIZADOR EN TERMINOS DE PRODUCTIVIDAD Y PROPIEDADES DEL PEAD SINTETIZASO. SE PRENSENTA ASI MISMO UNA COMPARACION DEL DESEMPE•O DE LOS CATALIZADORES PZ (LOTE 91859) Y CT-A (LOTE 042) EN LA SINTESIS DE PEAD HOMOPOLIMERO A UNA TEMPERATURA DE POLIMERIZACION DE 85¯C PARA INTERVALOS DETERMINADOS DE CONDICIONES DE OPERACION.;INFORMES/PLASTILAGO/1995/IN09795.PDF;
PTG09893;PLASTILAGO;PTG-S-02;EFECTO, PRESION, INYECCION,  PESO, PROBETAS, PEAD, ALTAVEN, 2208J,;SOTO, GUSTAVO;;;EFECTO DE LA PRESION DE INYECCION EN EL PESO DE PROBETAS FABRICADAS CON PEAD ALTAVEN 2208J;INFORME TECNICO;1993;EVALUAR LA DETERMINACION DE LA RESISTENCIA AL IMPACTO TIPO GARDNER Y ANALISIS DE CRISTALIZACION, EL EFECTO DE LA PRESION DE INYECCION EN EL PESO DE LAS PROBETAS INYECTADAS CON PEAD ALTAVEN GRADO 2208J.;INFORMES/PLASTILAGO/1993/IN09893.PDF;
PTG09993;PLASTILAGO;PTG-S-02;PEAD, DOW, 12050N, ALTAVEN, 2208J, 2100J,;MORALES, ILIANA;;;EVALUACION COMPARATIVA DEL PEAD DOW 12050N, ALTAVEN 2208J Y 2100J;;1993;DETERMINAR LAS VENTAJAS Y DESVENTAJAS DEL PEAD DOW 12050N FRENTE A LOS PEAD ALTAVEN 2100J Y 2208J.;INFORMES/PLASTILAGO/1993/IN09993.PDF;
PTG10093;PLASTILAGO;PTG-S-02;EVALUACION, GRADOS, PEAD,  MOBIL, CHEVRON, PAXXON,;CAPRIULO, FRANCESCO;;;EVALUACION DE GRADOS DE PEAD IMPORTADOS MOBIL, CHEVRON Y PAXXON;;1993;COMPARAR LAS PROPIEDADES FISICAS DE LOS GRADOS DE LOS PEAD MOBIL HYA012, HYA024, CHEVRON 9512 Y PAXXON AB55-033, CON LAS PROPIEDADES DEL PEAD ALTAVEN 6200B.;INFORMES/PLASTILAGO/1993/IN10093.PDF;
PTG10193;PLASTILAGO;PTG-S-02;PEAD, SCLAIR, 2908, UV8A,  ALTAVEN, 2208J,;MORALES, ILIANA;;;EVALUACION COMPARATIVA DEL PEAD SCLAIR 2908 - UV8A Y ALTAVEN 2208J;;1993;EVALUAR LAS VENTAJAS COMPETITIVAS DEL PEAD SCLAIR 2908-UV8A FRENTE AL ALTAVEN 2208J.;INFORMES/PLASTILAGO/1993/IN10193.PDF;
PTG10204;POLINTER;PLT-A-0104-02-38;MATRIZ, PAILA, COLOR, AMARILLO, BLANCO, INMET,;GUTIERREZ, EDGAR;;;IDENTIFICAR LA COMPOSICI‡N DE DOS TROZOS DE PAILAS DE UN COMPETIDOR DE INMET;INFORME TECNICO;2004;IDENTIFICAR LA MATRIZ POLIMêRICA DE DOS PEDAZOS DE PAILA (UNO DE COLOR AMARILLO Y OTRO BLANCO) DE UN COMPETIDOR DE INMET;INFORMES/POLINTER/2004/IN04286.PDF;
PTG10293;PLASTILAGO;PTG-S-02;PEAD. ALTAVEN, 6200B, APLICACIONES, BOLSAS, CAMISETAS,;"TRUJILLO, NARKYS; GUASTAFERRO, FRANCO";;;EVALUACION DEL PEAD ALTAVEN 6200B PARA APLICACIONES DE BOLSAS CAMISETAS - FASE I;INFORME TECNICO;1993;ESTUDIAR EL COMPORTAMIENTO DEL PEAD ALTAVEN 6200B EN DIFERENTES MEZCLAS, PARA SER UTILIZADAS EN APLICACIONES DE PELICULAS DE TIPO BOLSAS CAMISETA.;INFORMES/PLASTILAGO/1993/IN10293.PDF;
PTG10393;PLASTILAGO;PTG-S-02;HOMOTIPOS, ALTAVEN, 2150J, 2208J,;MORALES, ILIANA;;;HOMOTIPOS DE ALTAVEN 2150J Y 2208J;INFORME TECNICO;1993;CARACTERIZAR LOS PRODUCTOS UNION CARBIDE DMDA 8907, PETROTENE LS5560 Y HOSTALEN POLISUL 7260LS, COMPARANDOLOS CON LOS PEAD ALTAVEN 2150J Y 2208J.;INFORMES/PLASTILAGO/1993/IN10393.PDF;
PTG10493;PLASTILAGO;PTG-S-02;INDICE DE FLUIDEZ, DENSIDAD, PROPIEDADES REOLOGICAS, PEAD, MOBIL, SOLVAY, FORTIFLEX,;"CAPRIULO, FRANCESO; SOTO, GUSTAVO";;;ESTUDIO COMPARATIVO DEL DESEMPE•O DE LOS PEAD ALTAVEN GRADO SOPLADO Y LOS PEAD MOBIL HYA311 Y SOLVAY FORTIFLEX B53-35H-011. AVANCE Y FINAL;INFORME TECNICO;1993;DETERMINAR LAS VENTAJAS Y DESVENTAJAS COMPETITIVAS DE LOS PEAD MOBIL HYA311 Y SOLVAY FORTIFLEX B53-35H-011, FRENTE A LOS PEAD ALTAVEN 6200B, 5200B Y 3200B.;INFORMES/PLASTILAGO/1993/IN10493.PDF;
PTG10593;PLASTILAGO;PTG-S-02;EVALUACION, PELICULAS, MEZCLAS, ALTAVEN, 7000F,  PELBD,;UNIDAD DE PROCESAMIENTO;;;EVALUACION DE PELICULAS ELABORADAS CON MEZCLAS DE ALTAVEN 7000F Y PELBD;INFORME TECNICO;1993;EVALUAR Y COMPARAR ENTER SI EL COMPORTAMIENTO, A NIVEL DE PROCESAMIENTO Y PROPIEDADES MECANICAS, DE PELICULAS CON ESPESOR DE 15um, EXTRUIDAS A CAUDAL MAXIMO CON MEZCLAS: PEAD ALTAVEN 7000F Y TRES DIFERENTES PELBD (DOWLEX, SCLAIR, MOBIL) EN PROPORCIONES DE 95/5 90/10 Y 85/15 POR CIENTO EN CADA UNO DE LOS CASOS.;INFORMES/PLASTILAGO/1993/IN10593.PDF;
PTG10693;PLASTILAGO;PTG-S-02;CARACTERIZACION, POLIPROPILENOS, PROPILCO, GRADO INYECCION, RESINAS, PEAD,;TRUJILLO, NARKYS;;;CARACTERIZACION DE POLIPROPILENOS PROPILCO GRADO INYECCION;INFORME TECNICO;1993;PROPORCIONAR INFORMACION RELACIONADA CON EL COMPORTAMIENTO FISICO-QUIMICO Y DE PROCESAMIENTO DE CUATRO POLIPROPILENOS PROPILCO, GRADO INYECCION: PP-05C05, 08C01T, 22C15N Y 10R10C. REALIZAR COMPARACIONES CON RESINAS PEAD ALTAVEN HOMOTIPOS.;INFORMES/PLASTILAGO/1993/IN10693.PDF;
PTG10793;PLASTILAGO;PTG-S-02;EVALUACION, PP, PROPILCO, SOPLADO, PEAD, ALTAVEN,;CAPRIULO, FRANCESCO;;;EVALUACION DE PP PROPILCO GRADO SOPLADO;INFORME TECNICO;1993;COMPARAR LAS PROPIEDADES FISICAS DE LOS GRADOS DE PP PROPILCO 02R01A Y 01C25 CON LOS GRADOS SOPLADOS DE PEAD ALTAVEN.;INFORMES/PLASTILAGO/1993/IN10793.PDF;
PTG10893;PLASTILAGO;PTG-S-02;EVALUACION, GRADOS, SOPLADO, PEAD,;CAPRIULO, FRANCESCO;;;EVALUACION DE GRADOS SOPLADO DE PEAD;INFORME TECNICO;1993;EVALUAR LAS PROPIEDADES FISICAS Y DE PROCESABILIDAD DE LOS PEAD QUANTUM 7340, POLISUL GF4750, Y HOSTALEN GF7750VL.;INFORMES/PLASTILAGO/1993/IN10893.PDF;
PTG10993;PLASTILAGO;PTG;INTERLABORATORIO, METODO, PROPIEDADES TENSILES,;ARNAL,DENIS;;;ESTUDIO INTERLABORATORIO DEL METODO DE DETERMINACION DE PROPIEDADES TENSILES EN PLASTICOS;INFORME TECNICO;1993;;INFORMES/PLASTILAGO/1993/IN10993.PDF;
PTG11093;PLASTILAGO;PTG-S-04;EVALUACION, ESTEARATO DE CALCIO, PHYSIS, PEAD, ALTAVEN, 6200B,;CAPRIULO, FRANCESCO;;;EVALUACION COMPARATIVA DEL ESTEARATO DE CALCIO PAYSIS EN EL PEAD ALTAVEN 6200B;INFORME TECNICO;1993;COMPARAR EL EFECTO COESTABILIZANTE DEL ESTEARATO DE CALCIO PHYSIS CON EL DEL ESTEARATO DE CALCIO OTTO BARLOCHER EN EL PEAD ALTAVEN 6200B.;INFORMES/PLASTILAGO/1993/IN11093.PDF;
PTG11193;PLASTILAGO;;DISPOSICION, DESECHOS PLASTICOS, PEAD, DEGRADACION, RECICLAJE,;;;;RECICLAJE DE PEAD;INFORME TECNICO;1993;PRESENTAR UN RESUMEN DE TODAS LAS ACTIVIADES REALIZADAS SOBRE EL RECICLAJE DE PLASTICOS.;INFORMES/PLASTILAGO/1993/IN11193.PDF;
PTG11293;PLASTILAGO;PTG-I-04-04-01;TENDENCIAS, CATALIZADORES, METALOCENOS,;GOMEZ, NEIDI;;;TENDENCIAS EN EL USO DE CATALIZADORES EN LA POLIMERIZACION DE POLIOLEFINAS;INFORME TECNICO;1993;;INFORMES/PLASTILAGO/1993/IN11293.PDF;
PTG11394;PLASTILAGO;PTG-I-03;ADITORIA, NEWTONIANO,;MORALES, ILIANA;;;EVALUACION DE PAILAS ZIP-PAK;INFORME TECNICO;1994;DETERMINAR LAS PROPIEDADES DE ESPESORES, PESO, MODULO DE ELASTICIDAD Y RESISTENCIA A LA COMPRESION DE PAILAS PROVENIENTES DE DOS CAVIDADES DIFERENTES (3 Y 4) ELABORADAS POR LA EMPRESA ZIP-PAK.;INFORMES/PLASTILAGO/1994/IN11394.PDF;
PTG11494;PLASTILAGO;PTG-I-01;ESTABILIZACION DEL PEAD ALTAVEN 6200B;CAPRIULO, FRANCESCO;;;ESTABILIZACION DEL PEAD ALTAVEN 6200B;INFORME TECNICO;1994;ELABORAR UN REPORTE COMPARATIVO SOBRE LA CONVENIENCIA DE USAR UN SISTEMA DE ESTABILIZACION PARA EL PEAD ALTAVEN 6200B QUE POSEE 0.015% DE IRGANOX B-561, EN COMPARACION CON UN SISTEMA QUE POSEA 0.04% DE IRGANOX 1076, AMBOS CON 0.15 DE ESTEARATO DE CALCIO.;INFORMES/PLASTILAGO/1994/IN11494.PDF;
PTG11594;PLASTILAGO;PTG-I-01;MEZCLAS, PEAD, ALTAVEN, GAVERAS,;CAPRIULO, FRANCESCO;;;DESARROLLO VIA MEZCLAS DE UN PEAD ALTAVEN DE ALTA RESISTENCIA AL IMPACTO Y ALTA PROCESABILIDAD PARA GAVERAS;INFORME TECNICO;1994;DETERMINAR LAS CARACTERISTICAS DE DENSIDAD E INDICE DE FLUIDEZ QUE DEBE POSEER UN GRADO INYECCION DE PEAD ALTAVEN PARA LA APLICACION DE GAVERAS, QUE POSEA LA PROCESABILIDAD Y LA RESISTENCIA AL IMPACTO REQUERIDA POR EL MERCADO COLOMBIANO.;INFORMES/PLASTILAGO/1994/IN11594.PDF;
PTG11694;PLASTILAGO;PTG-I-01;5200B, ANTIOXIDANTES, IRGANOX, 1076, BHT,;"TRUJILLO, NARKYS; SEPULVEDA, TITO";;;OPTIMIZACION DEL PRODUCTO 5200B;INFORME TECNICO;1994;DETERMINAR LA INFLUENCIA DE LOS ANTIOXIDANTES IRGANOX 1076 BHT SOBRE LAS PROPIEDADES DE IMPACTO IZOD, OPTICA, MFI Y DE ESTABILIDAD AL PROCESO EN LA RESINA DE PEAD 5200B.;INFORMES/PLASTILAGO/1994/IN11694.PDF;
PTG11794;PLASTILAGO;PTG-I-01;TIEMPO, CRISTALIZACION, DSC, PEAD,;MORALES, ILIANA;;;METODO PAR LA DETERMINACION DEL TIEMPO DE CRISTALIZACION;INFORME TECNICO;1994;IMPLEMENTAR UNMETODO QUE PERMITA DETERMINAR EL TIEMPO DE CRISTALIZACION DEL PEAD MEDIANTE LA TECNICA DE CALORIMETRIA DIFERENCIAL DE BARRIDO (DSC).;INFORMES/PLASTILAGO/1994/IN11794.PDF;
PTG11894;PLASTILAGO;PTG-I-02;ANALISIS DE DISTRIBUCION DE PESOS MOLECULARES, DISPERSIDAD, DOW, FORTYFLEX,;LOPEZ, JOSE LUIS;;;ANALISIS DE DISTRIBUCION DE PESOS MOLECULARES A MUESTRAS EXPERIMENTALES;INFORME TECNICO;1994;"CON EL FIN DE AVALUAR LOS GRADOS EXPERIMENTALES (POLVO) DE PEAD SINTETIZADOS CON CATALIZADORES: PZ; CT-A Y HIMONT 210F, SE REALIZO UN ANALISIS DE SUS PESOS MOLECULARES PROMEDIO, DISTRIBUCION Y DISPERSIDAD. ADICIONALMENTE TAMBIEN SE EVALUARON DOS MUESTRAS DE PRODCUTOS COMERCIALES: DOW 4352 N Y FORTYFLEX ""ZIPPZK"" (T50-3600).";INFORMES/PLASTILAGO/1994/IN11894.PDF;
PTG11994;PLASTILAGO;PTG-I-02;ENTRENAMIENTO, SINTESIS  REACTIVIDAD, CATALIZADORES, ZIEGLER-NATTA,;GONZALEZ, EDGAR;;;ENTRENAMIENTO EN LA SINTESIS Y REACTIVIDAD DE CATALIZADORES ZIEGLER-NATTA;INFORME TECNICO;1994;;INFORMES/PLASTILAGO/1994/IN11994.PDF;
PTG12094;PLASTILAGO;PTG-I-03;EVALUACION, PAILAS, BURBUPLAST, METALGRAFICA, ENVICEN,;MORALES, ILIANA;;;EVALUACION DE PAILAS DE BURBUPLAST;INFORME TECNICO;1994;DETERMINAR LAS PROPIEDADES EN COMPRESION, LA DISTRIBUCION DE ESPESORES, PESOS Y MODULO DE ELASTICIDAD DE PAILAS DE UN (1) GALON, FABRICADAS POR LA EMPRESA BURBUPLAST Y COMPARAR LOS RESULTADOS OBTENIDOS CON LAS PROPIEDADES EVALUADAS EN PAILAS FABRICADAS POR PLASTICOS METALGRFICA Y ENVICEN.;INFORMES/PLASTILAGO/1994/IN12094.PDF;
PTG12194;PLASTILAGO;PTG-I-03;EVALUACION, GAVERAS, PLASTISOL, PEAD, ALTAVEN,;MORALES, ILIANA;;;EVALUACION DE GAVERAS ELABORADAS EN PLASTISOL;INFORME TECNICO;1994;EVALUAR GAVERAS ELABORADAS EN PLASTISOL CON PEAD ALTAVEN 2208JB Y PEAD SCLAIR 2908UV8A.;INFORMES/PLASTILAGO/1994/IN12194.PDF;
PTG12294;PLASTILAGO;PTG-I-03;EVALUACION, PAILAS, ENVICEN, DESEMPE•O,;CAPRIULO, FRANCESCO;;;EVALUACION DE PAILAS ENVICEN;INFORME TECNICO;1994;COMPARAR EL DESEMPE•O DE DIFERENTES RESINAS DE PEAD GRADO INYECCION CON EL PEAD DOW 4352N PARA LA APLICACION DE PAILAS DE UN GALON.;INFORMES/PLASTILAGO/1994/IN12294.PDF;
PTG12394;PLASTILAGO;PTG-I-03;DESARROLLO, METODO, RESISTENCIA AL IMPACTO,  PAILAS,;MORALES, ILIANA;;;DESARROLLO DE METODO PARA LA DETERMINACION CUANTITATIVA DE LA RESISTENCIA AL IMPACTO POR CAIDA LIBRE DE PAILAS DE UN GALON;INFORME TECNICO;1994;DESARROLLO DE METODO PARA LA DETERMINACION CUANTITATIVA DE LA RESISTENCIA AL IMPACTO POR CAIDA LIBRE DE PAILAS DE UN GALON;INFORMES/PLASTILAGO/1994/IN12394.PDF;
